Table Name: Circle$RecordAll$domain0, Topic Name: Circle
Timestamp,color,x,y,shapesize,fillKind,angle
Tue May 04 10:10:45 2021,YELLOW,207,94,30,0,0.0000000000
Tue May 04 10:10:45 2021,YELLOW,209,88,30,0,0.0000000000
Tue May 04 10:10:45 2021,YELLOW,211,82,30,0,0.0000000000
Tue May 04 10:10:46 2021,YELLOW,213,76,30,0,0.0000000000
Tue May 04 10:10:46 2021,YELLOW,215,70,30,0,0.0000000000
Tue May 04 10:10:46 2021,YELLOW,217,64,30,0,0.0000000000
Tue May 04 10:10:46 2021,YELLOW,219,58,30,0,0.0000000000
Tue May 04 10:10:46 2021,YELLOW,220,52,30,0,0.0000000000
Tue May 04 10:10:46 2021,YELLOW,218,46,30,0,0.0000000000
Tue May 04 10:10:46 2021,YELLOW,216,40,30,0,0.0000000000
Tue May 04 10:10:46 2021,YELLOW,214,34,30,0,0.0000000000
Tue May 04 10:10:46 2021,YELLOW,212,28,30,0,0.0000000000
Tue May 04 10:10:46 2021,YELLOW,210,22,30,0,0.0000000000
Tue May 04 10:10:46 2021,YELLOW,208,16,30,0,0.0000000000
Tue May 04 10:10:46 2021,YELLOW,206,15,30,0,0.0000000000
Tue May 04 10:10:46 2021,YELLOW,204,21,30,0,0.0000000000
Tue May 04 10:10:46 2021,YELLOW,202,27,30,0,0.0000000000
Tue May 04 10:10:46 2021,YELLOW,200,33,30,0,0.0000000000
Tue May 04 10:10:46 2021,YELLOW,198,39,30,0,0.0000000000
Tue May 04 10:10:47 2021,YELLOW,196,45,30,0,0.0000000000
Tue May 04 10:10:47 2021,YELLOW,194,51,30,0,0.0000000000
Tue May 04 10:10:47 2021,YELLOW,192,57,30,0,0.0000000000
Tue May 04 10:10:47 2021,YELLOW,190,63,30,0,0.0000000000
Tue May 04 10:10:47 2021,YELLOW,188,69,30,0,0.0000000000
Tue May 04 10:10:47 2021,YELLOW,186,75,30,0,0.0000000000
Tue May 04 10:10:47 2021,YELLOW,184,81,30,0,0.0000000000
Tue May 04 10:10:47 2021,YELLOW,182,87,30,0,0.0000000000
Tue May 04 10:10:47 2021,YELLOW,180,93,30,0,0.0000000000
Tue May 04 10:10:47 2021,YELLOW,178,99,30,0,0.0000000000
Tue May 04 10:10:47 2021,YELLOW,176,105,30,0,0.0000000000
Tue May 04 10:10:47 2021,YELLOW,174,111,30,0,0.0000000000
